"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3708","Nagaland","Creation of new ponds","WS/MP18391/2026-2027/283800","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","S SUPONGMEREN JAMIR","NAGALAND","06-Aug-2026","Imtijungla","Payment Success","300000"
"3709","Nagaland","Creation of new ponds","WS/MP18391/2026-2027/283799","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","S SUPONGMEREN JAMIR","NAGALAND","06-Aug-2026","Temsu Ao","Payment Success","400000"
"3710","Gujarat","Construction of additional rooms and halls in the existing public and community building","WS/MP18320/2025-2026/231624","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","01-Aug-2026","GODA GRAM PANCHAYAT","Payment Success","300000"
"3711","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18147/2025-2026/238096","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","27-Jul-2026","GOPAL NAYAK","Payment Success","500000"
"3712","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP18192/2025-2026/232875","JOGULAMBA GADWAL(DISTRICT COLLECTOR JOGULAMBA GADWAL_IDA)","DR.MALLU RAVI","NAGARKURNOOL(SC)","07-Aug-2026","RAVI NAIK","Payment Success","499914"
"3713","Chhattisgarh","Construction of artificial reef","WS/MP428/2026-2027/275105","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","04-Aug-2026","Gram Panchayat Mahratola","Payment Success","100000"
"3714","Chhattisgarh","Construction of artificial reef","WS/MP428/2026-2027/275109","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","04-Aug-2026","Gram Panchayat Dashrangpur","Payment Success","100000"
"3715","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18314/2025-2026/235956","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","13-Aug-2026","DHILLON CEMENT STORE","Payment Success","33421"
"3716","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18314/2025-2026/235956","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","13-Aug-2026","DHILLON CEMENT STORE","Payment Success","21016"
"3717","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18314/2025-2026/235956","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","13-Aug-2026","ASMAT BB","Payment Success","21201"
"3718","Madhya Pradesh","Construction of culverts and bridges","WS/MP18103/2026-2027/288880","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","01-Aug-2026","GRAM PANCHAYAT FULIPURA","Payment Success","250000"
"3719","Madhya Pradesh","Construction of culverts and bridges","WS/MP18103/2026-2027/288095","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","06-Aug-2026","GRAM PANCHAYAT CHARCH","Payment Success","250000"
"3720","Madhya Pradesh","Construction of culverts and bridges","WS/MP18103/2026-2027/286982","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","10-Aug-2026","GRAM PANCHAYAT SALODA","Payment Success","250000"
"3721","Andaman And Nicobar Islands","Construction of community centers and community halls","WS/MP18275/2025-2026/187484","NORTH AND MIDDLE ANDAMAN(Implementing District Authority(N&MA))","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","05-Aug-2026","Sulata Baroi","Payment Success","1350689"
"3722","Kerala","Purchase of vans and buses for educational institutions","WS/MP18095/2025-2026/246637","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","02-Aug-2026","PTA GOVT UP SCHOOL KALARCODE","Payment Success","79370"
"3723","Tamil Nadu","Construction of road under bridge","WS/MP18185/2026-2027/247576","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","ROBERT BRUCE C","TIRUNELVELI","12-Aug-2026","Seetha","Payment Success","479711"
"3724","Kerala","Construction of public irrigation facilities","WS/MP343/2025-2026/165164","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","06-Aug-2026","Ravidas M","Payment Success","811809"
"3725","Kerala","Construction of culverts and bridges","WS/MP343/2025-2026/244528","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","06-Aug-2026","Thankamony R","Payment Success","698247"
"3726","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18009/2025-2026/245741","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","B K PARTHASARATHI","HINDUPUR","06-Aug-2026","P Venkatarmi Reddy","Payment Success","499379"
"3727","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18009/2025-2026/243739","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","B K PARTHASARATHI","HINDUPUR","06-Aug-2026","P Venkatarmi Reddy","Payment Success","498785"
"3728","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/267684","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Jul-2026","ACUTE ENGINEERS AND CONTRACTORS OPC PRIVATE LIMITED","Payment Success","1000000"
"3729","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18010/2025-2026/182158","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","TANGELLA UDAY SRINIVAS","KAKINADA","01-Aug-2026","Kadiyala Gopala Krishna","Payment Success","495797"
"3730","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18010/2025-2026/182159","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","TANGELLA UDAY SRINIVAS","KAKINADA","01-Aug-2026","Kadiyala Gopala Krishna","Payment Success","496902"
"3731","Andhra Pradesh","Development of playfields and sports grounds","WS/MP18010/2025-2026/213636","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","TANGELLA UDAY SRINIVAS","KAKINADA","29-Jul-2026","Viswanadhula Naveen Kumar","Payment Success","498819"
"3732","Madhya Pradesh","Construction of shelters for animals","WS/MP18100/2026-2027/234935","Pandhurna(District Collector Pandhurna_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","05-Aug-2026","Naveen Infraspace Private Limited","Payment Success","600000"
"3733","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18206/2025-2026/234486","CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","BANDA","11-Aug-2026","DR RAM MANOHAR LOHIYA SHIKSHA SANSTHAN","Payment Success","499531"
"3734","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/256449","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","04-Aug-2026","Changada Gp Account","Payment Success","90000"
"3735","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/256463","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","04-Aug-2026","Changada Gp Account","Payment Success","170000"
"3736","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/256447","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","04-Aug-2026","Changada Gp Account","Payment Success","100000"
"3737","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","HIMMAT","Payment Success","15600"
"3738","Andhra Pradesh","Construction of community centers and community halls","WS/MP18007/2025-2026/169477","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Putta Mahesh Kumar","ELURU","01-Aug-2026","SAO MANNROW CONSTRUCTIONS PRIVATE LIMITED","Payment Success","1947249"
"3739","Haryana","Construction of veterinary hospitals and dispensaries","WS/MP18065/2026-2027/152353","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","12-Aug-2026","JINDAL CONSULTANTS","Payment Success","23600"
"3740","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2024-2025/138732","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","01-Aug-2026","Gram Panchayat Kaliarai","Payment Success","250000"
"3741","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP526/2025-2026/166435","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","01-Aug-2026","THE CHAIRMAN VLC KALUVAPALLE GP","Payment Success","249920"
"3742","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP746/2026-2027/232984","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","05-Aug-2026","SURESHKANNAN M","Payment Success","642795"
"3743","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Priya Khatik","Payment Success","7566"
"3744","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Amit Kumar","Payment Success","7566"
"3745","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Yovraj  Solnki","Payment Success","7566"
"3746","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Ghanshyam Regar","Payment Success","7566"
"3747","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Ratani Khatik","Payment Success","7566"
"3748","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Kailash Bhil","Payment Success","7566"
"3749","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Teena Khatik","Payment Success","7566"
"3750","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Maya Bhil","Payment Success","5820"
"3751","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Geeta Regar","Payment Success","3679"
"3752","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Rani Khatik","Payment Success","3783"
"3753","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Parbhu Lal Khatik","Payment Success","19500"
"3754","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Dalla Ram Regar","Payment Success","3679"
"3755","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Geeta Devi Vaishnav","Payment Success","3679"
"3756","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Dipak Khatik","Payment Success","16500"
"3757","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Govind Sadhu","Payment Success","3679"
"3758","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Harsvardhan","Payment Success","7566"
"3759","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Bhanwar Lal Sharma","Payment Success","3679"
"3760","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/203729","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","03-Aug-2026","Kamlesh Khatik","Payment Success","9750"
"3761","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Lad Devi Vaishnav","Payment Success","3679"
"3762","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Dinesh Kumar Regar","Payment Success","3679"
"3763","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Choti Balai","Payment Success","3679"
"3764","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Ramesh Chand Balai","Payment Success","3679"
"3765","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Pavan Kumar Sharma","Payment Success","3679"
"3766","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Kalu Ram Balai","Payment Success","3679"
"3767","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Kamla Devi Balai","Payment Success","6000"
"3768","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Leela Devi Balai","Payment Success","3679"
"3769","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241420","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","06-Aug-2026","jai mata di enterprises","Payment Success","200228"
"3770","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Bhula Devi Balai","Payment Success","3679"
"3771","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Jagdeesh Chand Balai","Payment Success","6000"
"3772","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Balu Lal Balai","Payment Success","2830"
"3773","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Ramesh Chand Sharma","Payment Success","3679"
"3774","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/251135","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","Seema Devi Basher","Payment Success","3679"
"3775","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/237229","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","30-Jul-2026","Karanveer Singh","Payment Success","18000"
"3776","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/237229","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","30-Jul-2026","Karanveer Singh","Payment Success","200"
"3777","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/237229","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","30-Jul-2026","Mandeep Singh","Payment Success","10000"
"3778","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2026-2027/192307","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","07-Aug-2026","BCS  ENTERPRISES","Payment Success","41924"
"3779","Telangana","Construction of public irrigation facilities","WS/MP18338/2025-2026/179195","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","21-Aug-2026","SAMA ABHISHEK REDDY","Payment Success","500000"
